,C11_Predicted(Gpa),C12_Predicted(Gpa),C44_Predicted(Gpa),E1_Predicted(Gpa),C11_Reported(Gpa),C12_Reported(Gpa),C44_Reported(Gpa),E1_Reported(Gpa),C11_Error(%),C12_Error(%),C44_Error(%),E1_Error(%),C11_Pred(Me),C12_Pred(Me),C44_Pred(Me),C11_Error_Me,C12_Error_Me,C44_Error_Me
MnO,225.1,125.8,79.4,134.9,223,120,79,139,0.9,4.8,0.5,-2.9,286.43,185.21,78.50,28.44,54.34,-0.63
Mo,452,175.6,106.6,353.8,469.6,167.6,106.8,381.4,-3.7,4.8,-0.1,-7.2,484.42,172.06,104.07,3.16,2.66,-2.56
MoRe(73.1-26.9),444,177.4,128.1,342.8,460.7,195.9,132.3,343.8,-3.6,-9.5,-3.2,-0.3,438.65,155.56,126.34,-4.79,-20.59,-4.51
MoRe(83.4-16.6),446.8,163.1,118.7,359.5,465,185.8,123.7,358.9,-3.9,-12.2,-4,0.2,507.91,237.95,125.67,9.23,28.07,1.59
MoRe(93-7),455.5,171.3,103.6,361.8,466.5,172.9,114.8,373,-2.4,-0.9,-9.7,-3,542.45,252.49,113.53,16.28,46.03,-1.10
NaBrO3,62.5,21,14.3,52,57.32,17.64,15.23,49,9.1,18.8,-6.2,6.1,62.24,23.10,15.14,8.58,30.94,-0.60
NaCl,59.3,20.6,10.8,48.7,49.6,13.1,12.68,44.1,19.6,57.1,-15.1,10.4,52.39,13.00,12.02,5.63,-0.79,-5.22
NaClO3,59.7,18.6,10.3,50.9,49.2,14.2,11.6,42.8,21.4,31.2,-11.4,18.8,46.58,9.06,11.35,-5.33,-36.23,-2.18
NaF,101.4,26.6,26.5,90.4,96.3,24.59,27.94,86.3,5.3,8,-5.3,4.7,104.10,34.69,28.00,8.10,41.08,0.22
Nb,233.7,127.4,33.9,143.7,240.19,125.58,28.22,154,-2.7,1.5,20,-6.6,220.57,94.05,27.31,-8.17,-25.11,-3.23
Nb3Sn,250,101.5,37.1,191.4,253.8,112.4,39.57,184.8,-1.5,-9.7,-6.2,3.6,256.05,104.16,38.10,0.89,-7.33,-3.70
Ni,248.5,163.7,94.5,118.5,244,158,102,119.8,1.9,3.6,-7.4,-1.1,287.71,203.36,103.82,17.91,28.71,1.78
NiAl,202,135.4,115,93.2,211.55,143.23,112.11,95.9,-4.5,-5.4,2.6,-2.8,222.14,152.80,106.90,5.00,6.68,-4.65
NiAl(90.4-9.6),248.5,147.1,141.9,139.1,252,153,132,136.4,-1.4,-3.9,7.5,2,312.73,215.64,132.28,24.10,40.94,0.21
NiCu(31.1-68.9),191.3,134.8,81.1,79.8,189.1,131.9,89.6,80.7,1.2,2.2,-9.5,-1.1,211.61,154.00,86.35,11.90,16.75,-3.62
NiCu(53.8-46.2),208.1,139.3,90.5,96.4,208.6,142.8,100.9,92.5,-0.3,-2.5,-10.3,4.2,240.17,174.69,99.76,15.13,22.33,-1.13
NiCu(77.2-22.8),224.3,142.2,111,114,228.1,147.3,111.3,112.5,-1.7,-3.5,-0.3,1.3,271.92,191.05,107.47,19.21,29.70,-3.44
NiCu(80-20),223.2,144.8,103,109.2,229.8,149.4,113.7,112.1,-2.9,-3,-9.4,-2.5,285.57,205.30,109.77,24.27,37.42,-3.46
NiCu(92.7-7.3),252.3,150.7,113.8,139.6,241.3,151.1,120.1,124.9,4.6,-0.3,-5.2,11.8,297.34,209.20,122.04,23.22,38.45,1.62
PbF2,90.1,45.6,24.1,59.5,88.8,47.2,24.54,56,1.5,-3.5,-2,6.2,119.97,80.09,24.98,35.10,69.69,1.79
PbS,102.1,39.8,25.5,79.8,102,38,25,81.4,0.1,4.8,2.1,-1.9,118.48,55.17,24.70,16.15,45.19,-1.18
Pd,223.1,181,83.8,61,227.1,176.04,71.73,73.4,-1.7,2.8,16.8,-16.8,685.19,638.63,86.12,201.71,262.77,20.06
Permalloy(Ni73.8-Fe26.2),222.3,138.4,124.7,116.2,230.4,144.4,119.2,119.1,-3.5,-4.2,4.6,-2.5,277.02,190.67,113.71,20.24,32.04,-4.60
Pt,357,266.3,79.2,129.5,346.7,250.7,76.5,136.3,3,6.2,3.6,-4.9,488.46,400.70,86.02,40.89,59.83,12.44
RbCl,361.8,71.2,47.9,338.4,362.42,61.24,46.78,344.7,-0.2,16.2,2.4,-1.8,355.04,44.91,46.73,-2.04,-26.66,-0.10
Si,174.8,71.3,76.9,133.5,165.78,63.94,79.62,130.2,5.5,11.5,-3.4,2.6,176.27,73.75,77.42,6.33,15.34,-2.77
Sr3N2,57.4,28.4,13.1,38.6,47.3,21.8,14.6,33.5,21.4,30.3,-10.1,15.2,59.45,32.70,13.61,25.68,49.99,-6.75
SrF2,128.3,47.4,31.6,102.7,123.5,43.05,31.28,101.2,3.9,10.1,1,1.5,141.90,62.81,31.02,14.90,45.90,-0.83
SrO,148.4,31.8,60.5,137.2,160.1,43.5,59,141.5,-7.3,-27,2.5,-3,141.90,3.56,58.04,-11.37,-91.81,-1.63
SrTiO3,329.7,125.1,125.2,260.9,318.7,103.4,123,268,3.5,21,1.8,-2.6,291.86,26.77,112.18,-8.42,-74.11,-8.80
Ta,255.1,159.2,85.5,132.8,266.7,160.8,82.49,145.7,-4.3,-1,3.7,-8.9,394.82,296.10,88.38,48.04,84.14,7.14
Th,73.4,45.6,44.2,38.4,75.3,48.9,47.8,36.8,-2.5,-6.7,-7.5,4.4,80.41,53.11,43.12,6.79,8.60,-9.78
ThO2,350.5,80.2,63.4,320.6,367,106,79.7,319.5,-4.5,-24.3,-20.4,0.3,319.22,27.26,79.53,-13.02,-74.29,-0.22
TlCl,47.7,22.6,7.5,33.2,40.1,15.3,7.6,31.6,19,47.5,-1.2,5,38.37,12.33,7.44,-4.32,-19.43,-2.08
UC,324.6,66.3,58.6,302.1,320,85,64.7,284.3,1.4,-22,-9.4,6.2,356.46,107.39,61.86,11.39,26.34,-4.40
UO2,371.8,86.8,64.2,339,396,121,64.1,339.4,-6.1,-28.3,0.1,-0.1,362.60,76.75,64.16,-8.44,-36.57,0.09
V,235.2,141.4,47.2,129,227.95,118.7,42.55,146.7,3.2,19.2,10.9,-12.1,262.57,150.99,41.47,15.19,27.20,-2.54
ZnS,101.5,59.5,42.9,57.5,104.62,65.34,46.13,54.4,-3,-8.9,-7.1,5.7,113.65,74.52,45.77,8.63,14.06,-0.79
ZnSe,75.5,45.5,44.9,41.2,80.96,48.81,44.05,44.2,-6.8,-6.8,1.9,-6.8,94.99,62.75,42.18,17.33,28.56,-4.24
ZnTe,76.6,46.9,30.4,41,71.34,40.78,31.15,41.7,7.4,14.9,-2.4,-1.5,96.36,66.22,30.42,35.07,62.37,-2.34
ZrCo2,223.5,94.1,79.1,167.8,233.11,112.71,83.66,159.6,-4.1,-16.5,-5.5,5.1,299.52,184.48,85.61,28.49,63.67,2.34
