,C11,C12,C44,C11,C12,C44
HgTe,15.4,25.9,4.3,-2.6,-3.9,-0.3
InAs,-6.3,-4.1,1.3,-2.9,-6.7,-2.2
InP,-0.1,0.9,-10.5,-0.8,-2.4,-2.2
InSb,5.4,7.8,-10.3,0.9,2.1,0.2
KF,14.7,29.7,-0.6,8.5,24.3,-3.3
LiF,4.4,10.8,-1.1,-3,-7.6,1.2
Magnetite,-1.4,9.3,0.7,1.7,3.8,-0.7
Mg2Sn,0.8,-19.1,-4.7,0.3,-4.4,-1.7
MgAg,-15.5,-23.1,-2.5,0.5,1.4,3.8
MgAl2O4(Spinel),-1,-1.7,9.6,-1.8,-4.7,-3
MgCu2,-0.4,7.9,8.4,-1.1,-1.6,0.8
MnO,0.9,4.8,0.5,-1.2,-2.8,-0.7
Mo,-3.7,4.8,-0.1,14.1,41.8,-1
MoRe(73.1-26.9),-3.6,-9.5,-3.2,-5.4,-15.5,-0.7
MoRe(83.4-16.6),-3.9,-12.2,-4,3.6,8.1,-1
MoRe(93-7),-2.4,-0.9,-9.7,2.6,6.6,-0.6
NaBrO3,9.1,18.8,-6.2,3,7.5,-1.3
NaCl,19.6,57.1,-15.1,5.9,25.3,-0.6
NaClO3,21.4,31.2,-11.4,3.2,12.3,-0.3
NaF,5.3,8,-5.3,3.7,11,-1.7
Nb,-2.7,1.5,20,7.6,13,-1
Nb3Sn,-1.5,-9.7,-6.2,-6.1,-13.5,0.7
Ni,1.9,3.6,-7.4,-4.5,-7.3,-0.8
NiAl,-4.5,-5.4,2.6,-0.3,0.5,5.8
NiAl(90.4-9.6),-1.4,-3.9,7.5,-2.6,-5,-1.7
NiCu(31.1-68.9),1.2,2.2,-9.5,-5.6,-7.9,1.7
NiCu(53.8-46.2),-0.3,-2.5,-10.3,-2.7,-3.5,2.6
NiCu(77.2-22.8),-1.7,-3.5,-0.3,0.3,0.3,-0.7
NiCu(80-20),-2.9,-3,-9.4,1.5,2.4,-0.2
NiCu(92.7-7.3),4.6,-0.3,-5.2,1,2.3,2.6
PbF2,1.5,-3.5,-2,0.8,1,-0.5
PbS,0.1,4.8,2.1,2.6,6.4,-0.6
Pd,-1.7,2.8,16.8,-0.4,-0.2,3.2
Permalloy(Ni73.8-Fe26.2),-3.5,-4.2,4.6,0.7,1.2,0
